Citation_key;Cited;Checked
misirli-casalicchio-2024;False;True
rjoub-bentahar-2017;False;True
yousif-et-al-2024;False;True
canali-lancellotti-2019;False;True
ali-et-al-2021;False;True
benblidia-et-al-2019;False;True
Hari-et-al-2018;False;True
zadeh-1965;False;True
abdel-basset-et-al-2021;False;True
he-et-al-2020;False;True
wang-et-al-2023;False;True
alhumaima-2020;False;True
malik-et-al-2022;False;True
yang-et-al-2022;False;True
wu-et-al-2021;False;True
jing-xue-2023;False;True
al-musawi-et-al-2023;False;True
rana-abubacker-2023;False;True
abubacker-et-al-2023;False;True
bonomi-et-al-2012;False;True
fuzzylite;False;True
keivani-tapamo-2019;False;False
jang-et-al-2012;False;False
alwabi-et-al-2017;False;False
kraemer-et-al-2017;False;False
shanhe-et-al-2015;False;False
shanhe-et-al-2015-survey;False;False
